hour_of_day,Payment_Mode,Price,Tea_Name,Time_of_Day,Weekday,Month_name,Weekdaysort,Mondaythsort,Date,Time
19,Cash,12,Masala Chai,Night,Sunday,March,7,3,10-03-2024,19.20.08
19,Cash,25,Rose Tea,Night,Sunday,March,7,3,10-03-2024,19.20.08
11,GPay,15,Black Tea,Morning,Monday,March,1,3,11-03-2024,19.20.08
16,Cash,35,Irani Chai,Afternoon,Monday,March,1,3,11-03-2024,19.20.08
16,Cash,12,Masala Chai,Afternoon,Monday,March,1,3,11-03-2024,19.20.08
16,Cash,25,Rose Tea,Afternoon,Monday,March,1,3,11-03-2024,19.20.08
10,Cash,35,Irani Chai,Morning,Tuesday,March,2,3,12-03-2024,15.34.05
10,Cash,25,Rose Tea,Morning,Tuesday,March,2,3,12-03-2024,16.24.09
11,Cash,20,Tandoori Chai,Morning,Tuesday,March,2,3,12-03-2024,20.45.06
12,Cash,18,Adrak Chai,Afternoon,Tuesday,March,2,3,12-03-2024,20.45.06
12,Cash,35,Irani Chai,Afternoon,Tuesday,March,2,3,12-03-2024,20.45.06
16,Cash,35,Irani Chai,Afternoon,Tuesday,March,2,3,12-03-2024,15.43.03
11,Cash,20,Tandoori Chai,Morning,Wednesday,March,3,3,12-03-2024,6.43.00
11,GPay,35,Irani Chai,Morning,Wednesday,March,3,3,12-03-2024,6.43.00
12,Paytm,35,Irani Chai,Afternoon,Wednesday,March,3,3,12-03-2024,18.06.03
12,Cash,35,Irani Chai,Afternoon,Wednesday,March,3,3,12-03-2024,19.05.01
14,Cash,18,Adrak Chai,Afternoon,Wednesday,March,3,3,12-03-2024,19.05.01
15,Cash,30,Butter Chai,Afternoon,Wednesday,March,3,3,12-03-2024,19.05.01
15,GPay,30,Butter Chai,Afternoon,Wednesday,March,3,3,12-03-2024,19.05.01
16,Paytm,30,Butter Chai,Afternoon,Wednesday,March,3,3,12-03-2024,19.05.01
10,Cash,12,Masala Chai,Morning,Thursday,March,4,3,12-03-2024,19.05.01
10,Cash,20,Tandoori Chai,Morning,Thursday,March,4,3,12-03-2024,19.05.01
13,Paytm,25,Rose Tea,Afternoon,Thursday,March,4,3,12-03-2024,19.05.01
13,Paytm,35,Irani Chai,Afternoon,Thursday,March,4,3,12-03-2024,19.05.01
13,GPay,18,Adrak Chai,Afternoon,Thursday,March,4,3,12-03-2024,19.05.01
13,GPay,30,Butter Chai,Afternoon,Thursday,March,4,3,12-03-2024,19.05.01
15,Paytm,12,Masala Chai,Afternoon,Thursday,March,4,3,12-03-2024,20.38.04
16,Paytm,18,Adrak Chai,Afternoon,Thursday,March,4,3,12-03-2024,4.09.05
16,Cash,30,Butter Chai,Afternoon,Thursday,March,4,3,12-03-2024,4.09.05
18,Cash,20,Tandoori Chai,Night,Thursday,March,4,3,12-03-2024,4.09.05
19,Cash,25,Rose Tea,Night,Thursday,March,4,3,12-03-2024,0.08.07
10,Paytm,20,Tandoori Chai,Morning,Friday,March,5,3,12-03-2024,0.08.07
18,Paytm,35,Irani Chai,Night,Friday,March,5,3,12-03-2024,19.27.09
12,Cash,18,Adrak Chai,Afternoon,Saturday,March,6,3,12-03-2024,6.55.02
12,Paytm,35,Irani Chai,Afternoon,Saturday,March,6,3,12-03-2024,7.53.09
15,GPay,25,Rose Tea,Afternoon,Saturday,March,6,3,12-03-2024,7.53.09
16,Cash,25,Rose Tea,Afternoon,Saturday,March,6,3,12-03-2024,3.21.07
16,GPay,25,Rose Tea,Afternoon,Saturday,March,6,3,12-03-2024,4.11.04
17,GPay,18,Adrak Chai,Night,Saturday,March,6,3,12-03-2024,4.11.04
12,Cash,25,Rose Tea,Afternoon,Sunday,March,7,3,12-03-2024,4.11.04
11,Cash,25,Rose Tea,Morning,Monday,March,1,3,12-03-2024,17.59.07
15,GPay,35,Irani Chai,Afternoon,Monday,March,1,3,12-03-2024,17.59.07
15,Cash,35,Irani Chai,Afternoon,Monday,March,1,3,12-03-2024,17.59.07
15,Cash,35,Irani Chai,Afternoon,Monday,March,1,3,12-03-2024,17.59.07
14,Cash,12,Masala Chai,Afternoon,Tuesday,March,2,3,12-03-2024,2.21.05
14,Cash,12,Masala Chai,Afternoon,Tuesday,March,2,3,12-03-2024,3.19.08
15,Cash,20,Tandoori Chai,Afternoon,Tuesday,March,2,3,12-03-2024,4.36.03
16,Cash,18,Adrak Chai,Afternoon,Tuesday,March,2,3,12-03-2024,4.36.03
11,Cash,25,Rose Tea,Morning,Wednesday,March,3,3,12-03-2024,4.36.03
12,Cash,25,Rose Tea,Afternoon,Wednesday,March,3,3,12-03-2024,4.36.03
13,Cash,15,Black Tea,Afternoon,Wednesday,March,3,3,12-03-2024,16.47.04
16,Cash,18,Green Tea,Afternoon,Wednesday,March,3,3,12-03-2024,16.47.04
17,Paytm,12,Masala Chai,Night,Wednesday,March,3,3,12-03-2024,16.47.04
12,Paytm,25,Rose Tea,Afternoon,Thursday,March,4,3,12-03-2024,16.47.04
12,GPay,15,Black Tea,Afternoon,Thursday,March,4,3,12-03-2024,16.47.04
17,Cash,25,Rose Tea,Night,Thursday,March,4,3,12-03-2024,22.01.04
19,Cash,12,Masala Chai,Night,Thursday,March,4,3,12-03-2024,20.36.05
10,Cash,18,Adrak Chai,Morning,Friday,March,5,3,12-03-2024,20.36.05
13,GPay,18,Adrak Chai,Afternoon,Friday,March,5,3,12-03-2024,20.36.05
17,Paytm,35,Irani Chai,Night,Friday,March,5,3,12-03-2024,17.03.07
17,Cash,30,Butter Chai,Night,Friday,March,5,3,12-03-2024,17.59.00
17,Cash,35,Irani Chai,Night,Friday,March,5,3,12-03-2024,20.49.05
10,Cash,12,Masala Chai,Morning,Saturday,March,6,3,12-03-2024,20.49.05
10,Cash,18,Adrak Chai,Morning,Saturday,March,6,3,12-03-2024,20.49.05
13,Paytm,15,Black Tea,Afternoon,Saturday,March,6,3,12-03-2024,10.07.07
13,GPay,18,Green Tea,Afternoon,Saturday,March,6,3,12-03-2024,11.12.02
14,Cash,18,Adrak Chai,Afternoon,Saturday,March,6,3,12-03-2024,11.12.02
15,GPay,12,Masala Chai,Afternoon,Saturday,March,6,3,12-03-2024,11.12.02
15,Cash,18,Adrak Chai,Afternoon,Saturday,March,6,3,12-03-2024,11.12.02
16,Paytm,25,Rose Tea,Afternoon,Saturday,March,6,3,12-03-2024,0.58.04
18,Cash,12,Masala Chai,Night,Sunday,March,7,3,12-03-2024,0.58.04
10,GPay,12,Masala Chai,Morning,Monday,March,1,3,12-03-2024,0.58.04
14,GPay,12,Masala Chai,Afternoon,Monday,March,1,3,12-03-2024,0.58.04
14,GPay,12,Masala Chai,Afternoon,Monday,March,1,3,12-03-2024,0.58.04
18,Cash,18,Adrak Chai,Night,Monday,March,1,3,12-03-2024,0.58.04
19,Cash,15,Black Tea,Night,Monday,March,1,3,12-03-2024,0.58.04
10,Cash,18,Green Tea,Morning,Tuesday,March,2,3,12-03-2024,0.58.04
10,GPay,12,Masala Chai,Morning,Tuesday,March,2,3,12-03-2024,0.58.04
10,Cash,12,Masala Chai,Morning,Tuesday,March,2,3,12-03-2024,0.58.04
11,Cash,25,Rose Tea,Morning,Tuesday,March,2,3,12-03-2024,11.47.03
13,GPay,35,Irani Chai,Afternoon,Tuesday,March,2,3,12-03-2024,11.47.03
13,Paytm,25,Rose Tea,Afternoon,Tuesday,March,2,3,12-03-2024,11.47.03
13,Paytm,25,Rose Tea,Afternoon,Tuesday,March,2,3,12-03-2024,11.47.03
13,Cash,35,Irani Chai,Afternoon,Tuesday,March,2,3,12-03-2024,11.47.03
15,Cash,12,Masala Chai,Afternoon,Tuesday,March,2,3,12-03-2024,11.47.03
18,Paytm,12,Masala Chai,Night,Tuesday,March,2,3,12-03-2024,11.47.03
18,Cash,20,Tandoori Chai,Night,Tuesday,March,2,3,12-03-2024,11.47.03
11,Paytm,25,Rose Tea,Morning,Wednesday,March,3,3,12-03-2024,4.51.02
11,Paytm,18,Adrak Chai,Morning,Wednesday,March,3,3,12-03-2024,5.58.02
12,Paytm,18,Adrak Chai,Afternoon,Wednesday,March,3,3,12-03-2024,5.58.02
13,Paytm,20,Tandoori Chai,Afternoon,Wednesday,March,3,3,12-03-2024,5.58.02
14,Cash,15,Black Tea,Afternoon,Wednesday,March,3,3,12-03-2024,22.31.07
14,Cash,35,Irani Chai,Afternoon,Wednesday,March,3,3,12-03-2024,23.35.04
18,Paytm,25,Rose Tea,Night,Wednesday,March,3,3,12-03-2024,23.35.04
14,Cash,25,Rose Tea,Afternoon,Thursday,March,4,3,12-03-2024,23.35.04
17,Cash,25,Rose Tea,Night,Thursday,March,4,3,12-03-2024,23.35.04
17,Cash,35,Irani Chai,Night,Thursday,March,4,3,12-03-2024,23.35.04
17,GPay,12,Masala Chai,Night,Thursday,March,4,3,12-03-2024,23.35.04
10,Cash,12,Masala Chai,Morning,Friday,March,5,3,12-03-2024,23.35.04
12,Cash,15,Black Tea,Afternoon,Friday,March,5,3,12-03-2024,23.35.04
12,Cash,15,Black Tea,Afternoon,Friday,March,5,3,12-03-2024,23.35.04
11,Paytm,12,Masala Chai,Morning,Saturday,March,6,3,12-03-2024,23.35.04
16,Cash,12,Masala Chai,Afternoon,Saturday,March,6,3,12-03-2024,12.31.08
16,Cash,12,Masala Chai,Afternoon,Saturday,March,6,3,12-03-2024,12.31.08
16,Cash,18,Adrak Chai,Afternoon,Saturday,March,6,3,12-03-2024,12.31.08
10,Cash,15,Black Tea,Morning,Sunday,March,7,3,12-03-2024,12.31.08
10,Paytm,35,Irani Chai,Morning,Monday,April,1,4,01-04-2024,12.31.08
10,Cash,18,Adrak Chai,Morning,Monday,April,1,4,01-04-2024,12.31.08
10,Cash,18,Adrak Chai,Morning,Monday,April,1,4,01-04-2024,12.31.08
11,Cash,18,Adrak Chai,Morning,Monday,April,1,4,01-04-2024,15.43.08
18,Cash,18,Adrak Chai,Night,Monday,April,1,4,01-04-2024,18.42.04
18,GPay,20,Tandoori Chai,Night,Monday,April,1,4,01-04-2024,18.42.04
10,Paytm,12,Masala Chai,Morning,Tuesday,April,2,4,02-04-2024,1.14.00
16,GPay,35,Irani Chai,Afternoon,Tuesday,April,2,4,02-04-2024,18.34.02
16,GPay,25,Rose Tea,Afternoon,Tuesday,April,2,4,02-04-2024,19.28.05
10,Paytm,25,Rose Tea,Morning,Wednesday,April,3,4,03-04-2024,19.13.06
10,Paytm,35,Irani Chai,Morning,Wednesday,April,3,4,03-04-2024,20.07.07
13,GPay,15,Black Tea,Afternoon,Wednesday,April,3,4,03-04-2024,12.05.04
10,Cash,12,Masala Chai,Morning,Thursday,April,4,4,04-04-2024,12.05.04
11,GPay,12,Masala Chai,Morning,Thursday,April,4,4,04-04-2024,12.05.04
11,GPay,15,Black Tea,Morning,Thursday,April,4,4,04-04-2024,12.05.04
12,Cash,25,Rose Tea,Afternoon,Thursday,April,4,4,04-04-2024,23.02.02
10,Cash,35,Irani Chai,Morning,Friday,April,5,4,05-04-2024,23.02.02
10,GPay,35,Irani Chai,Morning,Friday,April,5,4,05-04-2024,23.02.02
11,Paytm,25,Rose Tea,Morning,Friday,April,5,4,05-04-2024,6.14.06
12,GPay,18,Adrak Chai,Afternoon,Friday,April,5,4,05-04-2024,14.28.00
14,GPay,12,Masala Chai,Afternoon,Friday,April,5,4,05-04-2024,23.40.04
14,Paytm,25,Rose Tea,Afternoon,Friday,April,5,4,05-04-2024,23.40.04
16,Paytm,30,Butter Chai,Afternoon,Friday,April,5,4,05-04-2024,18.23.06
12,GPay,18,Adrak Chai,Afternoon,Saturday,April,6,4,06-04-2024,18.23.06
14,Cash,15,Black Tea,Afternoon,Saturday,April,6,4,06-04-2024,13.18.07
14,Cash,35,Irani Chai,Afternoon,Saturday,April,6,4,06-04-2024,14.27.00
14,GPay,12,Masala Chai,Afternoon,Saturday,April,6,4,06-04-2024,14.27.00
10,Paytm,12,Masala Chai,Morning,Sunday,April,7,4,07-04-2024,12.53.02
12,Cash,15,Black Tea,Afternoon,Sunday,April,7,4,07-04-2024,12.53.02
12,Cash,15,Black Tea,Afternoon,Sunday,April,7,4,07-04-2024,12.53.02
14,GPay,25,Rose Tea,Afternoon,Sunday,April,7,4,07-04-2024,16.24.09
14,Paytm,30,Butter Chai,Afternoon,Sunday,April,7,4,07-04-2024,17.30.06
18,Paytm,20,Tandoori Chai,Night,Sunday,April,7,4,07-04-2024,1.16.06
18,Cash,18,Adrak Chai,Night,Sunday,April,7,4,07-04-2024,2.03.09
10,Cash,18,Adrak Chai,Morning,Monday,April,1,4,08-04-2024,2.03.09
10,Paytm,15,Black Tea,Morning,Monday,April,1,4,08-04-2024,2.03.09
11,Cash,35,Irani Chai,Morning,Monday,April,1,4,08-04-2024,1.20.05
11,GPay,15,Black Tea,Morning,Monday,April,1,4,08-04-2024,4.47.00
16,Paytm,12,Masala Chai,Afternoon,Monday,April,1,4,08-04-2024,4.47.00
18,Cash,35,Irani Chai,Night,Monday,April,1,4,08-04-2024,18.09.07
19,Cash,18,Adrak Chai,Night,Monday,April,1,4,08-04-2024,22.27.05
19,Cash,15,Black Tea,Night,Monday,April,1,4,08-04-2024,23.59.03
11,Cash,12,Masala Chai,Morning,Tuesday,April,2,4,09-04-2024,23.59.03
15,Cash,20,Tandoori Chai,Afternoon,Tuesday,April,2,4,09-04-2024,11.48.07
17,Cash,20,Tandoori Chai,Night,Tuesday,April,2,4,09-04-2024,11.48.07
17,Cash,30,Butter Chai,Night,Wednesday,April,3,4,10-04-2024,11.48.07
18,GPay,15,Black Tea,Night,Wednesday,April,3,4,10-04-2024,11.48.07
20,Paytm,12,Masala Chai,Night,Wednesday,April,3,4,10-04-2024,4.05.04
10,Cash,35,Irani Chai,Morning,Thursday,April,4,4,11-04-2024,4.05.04
10,Cash,35,Irani Chai,Morning,Thursday,April,4,4,11-04-2024,4.05.04
16,Cash,12,Masala Chai,Afternoon,Thursday,April,4,4,11-04-2024,4.05.04
19,Paytm,15,Black Tea,Night,Thursday,April,4,4,11-04-2024,16.56.06
19,Paytm,18,Adrak Chai,Night,Thursday,April,4,4,11-04-2024,18.36.06
19,GPay,20,Tandoori Chai,Night,Friday,April,5,4,12-04-2024,3.43.04
19,Cash,25,Rose Tea,Night,Friday,April,5,4,12-04-2024,3.43.04
12,GPay,12,Masala Chai,Afternoon,Saturday,April,6,4,12-04-2024,3.43.04
12,Paytm,35,Irani Chai,Afternoon,Saturday,April,6,4,12-04-2024,3.43.04
16,Cash,15,Black Tea,Afternoon,Saturday,April,6,4,12-04-2024,18.03.09
16,Cash,12,Masala Chai,Afternoon,Saturday,April,6,4,12-04-2024,19.39.08
17,Cash,15,Black Tea,Night,Saturday,April,6,4,12-04-2024,19.39.08
17,Paytm,15,Black Tea,Night,Saturday,April,6,4,12-04-2024,19.39.08
12,Paytm,15,Black Tea,Afternoon,Sunday,April,7,4,12-04-2024,19.39.08
13,Cash,25,Rose Tea,Afternoon,Sunday,April,7,4,12-04-2024,21.49.08
14,Cash,35,Irani Chai,Afternoon,Sunday,April,7,4,12-04-2024,23.31.06
14,Paytm,35,Irani Chai,Afternoon,Sunday,April,7,4,12-04-2024,23.31.06
14,GPay,35,Irani Chai,Afternoon,Sunday,April,7,4,12-04-2024,23.31.06
15,Cash,15,Black Tea,Afternoon,Sunday,April,7,4,12-04-2024,23.31.06
16,Paytm,25,Rose Tea,Afternoon,Sunday,April,7,4,12-04-2024,23.31.06
17,Cash,12,Masala Chai,Night,Sunday,April,7,4,12-04-2024,0.45.04
18,Paytm,15,Black Tea,Night,Sunday,April,7,4,12-04-2024,0.45.04
11,Paytm,35,Irani Chai,Morning,Monday,April,1,4,12-04-2024,0.45.04
17,Cash,35,Irani Chai,Night,Monday,April,1,4,12-04-2024,1.46.04
17,Paytm,18,Adrak Chai,Night,Monday,April,1,4,12-04-2024,2.49.07
19,Cash,18,Adrak Chai,Night,Monday,April,1,4,12-04-2024,2.49.07
10,Paytm,18,Adrak Chai,Morning,Tuesday,April,2,4,12-04-2024,2.49.07
12,Cash,18,Green Tea,Afternoon,Tuesday,April,2,4,12-04-2024,2.49.07
12,Cash,25,Rose Tea,Afternoon,Tuesday,April,2,4,12-04-2024,2.49.07
15,Paytm,35,Irani Chai,Afternoon,Tuesday,April,2,4,12-04-2024,3.16.09
17,Cash,18,Adrak Chai,Night,Tuesday,April,2,4,12-04-2024,3.16.09
17,GPay,15,Black Tea,Night,Tuesday,April,2,4,12-04-2024,3.16.09
18,Paytm,18,Green Tea,Night,Tuesday,April,2,4,12-04-2024,9.05.03
13,Paytm,35,Irani Chai,Afternoon,Wednesday,April,3,4,12-04-2024,9.05.03
13,GPay,30,Butter Chai,Afternoon,Wednesday,April,3,4,12-04-2024,9.05.03
17,Paytm,15,Black Tea,Night,Wednesday,April,3,4,12-04-2024,1.35.01
17,Paytm,15,Black Tea,Night,Wednesday,April,3,4,12-04-2024,2.40.07
18,Paytm,25,Rose Tea,Night,Wednesday,April,3,4,12-04-2024,14.03.02
11,Cash,35,Irani Chai,Morning,Thursday,April,4,4,12-04-2024,19.01.07
11,Cash,35,Irani Chai,Morning,Thursday,April,4,4,12-04-2024,20.05.07
13,Cash,18,Adrak Chai,Afternoon,Thursday,April,4,4,12-04-2024,20.05.07
13,GPay,25,Rose Tea,Afternoon,Thursday,April,4,4,12-04-2024,20.05.07
14,Cash,15,Black Tea,Afternoon,Thursday,April,4,4,12-04-2024,20.05.07
14,GPay,12,Masala Chai,Afternoon,Thursday,April,4,4,12-04-2024,20.05.07
17,Cash,12,Masala Chai,Night,Thursday,April,4,4,12-04-2024,20.05.07
18,Paytm,15,Black Tea,Night,Thursday,April,4,4,12-04-2024,21.05.09
19,GPay,20,Tandoori Chai,Night,Thursday,April,4,4,12-04-2024,21.05.09
19,Cash,20,Tandoori Chai,Night,Thursday,April,4,4,12-04-2024,21.05.09
10,Paytm,12,Masala Chai,Morning,Friday,April,5,4,12-04-2024,10.36.03
13,GPay,18,Adrak Chai,Afternoon,Friday,April,5,4,12-04-2024,11.47.08
13,GPay,15,Black Tea,Afternoon,Friday,April,5,4,12-04-2024,13.20.09
13,Cash,20,Tandoori Chai,Afternoon,Friday,April,5,4,12-04-2024,13.20.09
13,Cash,15,Black Tea,Afternoon,Friday,April,5,4,12-04-2024,13.20.09
18,Cash,18,Green Tea,Night,Friday,April,5,4,12-04-2024,23.19.03
18,Paytm,18,Adrak Chai,Night,Friday,April,5,4,12-04-2024,23.19.03
12,Cash,18,Adrak Chai,Afternoon,Saturday,April,6,4,12-04-2024,8.35.07
12,Paytm,18,Adrak Chai,Afternoon,Saturday,April,6,4,12-04-2024,9.42.07
13,Cash,35,Irani Chai,Afternoon,Saturday,April,6,4,12-04-2024,8.37.04
13,Paytm,18,Adrak Chai,Afternoon,Saturday,April,6,4,12-04-2024,9.47.09
13,Paytm,20,Tandoori Chai,Afternoon,Saturday,April,6,4,12-04-2024,10.55.02
14,GPay,15,Black Tea,Afternoon,Saturday,April,6,4,12-04-2024,10.55.02
15,Cash,18,Adrak Chai,Afternoon,Saturday,April,6,4,12-04-2024,11.00.03
15,GPay,18,Adrak Chai,Afternoon,Saturday,April,6,4,12-04-2024,22.40.07
15,Cash,18,Adrak Chai,Afternoon,Saturday,April,6,4,12-04-2024,22.40.07
18,Cash,15,Black Tea,Night,Saturday,April,6,4,12-04-2024,22.40.07
18,GPay,15,Black Tea,Night,Saturday,April,6,4,12-04-2024,22.40.07
19,Cash,12,Masala Chai,Night,Saturday,April,6,4,12-04-2024,22.40.07
11,GPay,12,Masala Chai,Morning,Sunday,April,7,4,12-04-2024,16.45.07
14,Cash,35,Irani Chai,Afternoon,Sunday,April,7,4,12-04-2024,15.37.05
11,GPay,35,Irani Chai,Morning,Monday,April,1,4,12-04-2024,9.16.04
11,Cash,18,Adrak Chai,Morning,Monday,April,1,4,12-04-2024,9.16.04
19,Cash,12,Masala Chai,Night,Monday,April,1,4,12-04-2024,9.16.04
14,Cash,15,Black Tea,Afternoon,Tuesday,April,2,4,12-04-2024,22.36.00
14,GPay,18,Adrak Chai,Afternoon,Tuesday,April,2,4,12-04-2024,23.53.01
14,Cash,15,Black Tea,Afternoon,Tuesday,April,2,4,12-04-2024,23.53.01
19,GPay,18,Adrak Chai,Night,Tuesday,April,2,4,12-04-2024,23.53.01
19,Cash,18,Adrak Chai,Night,Tuesday,April,2,4,12-04-2024,23.53.01
10,Paytm,12,Masala Chai,Morning,Wednesday,April,3,4,12-04-2024,19.38.03
10,Cash,18,Adrak Chai,Morning,Wednesday,April,3,4,12-04-2024,21.27.03
11,GPay,18,Adrak Chai,Morning,Wednesday,April,3,4,12-04-2024,23.46.01
11,Paytm,18,Adrak Chai,Morning,Wednesday,April,3,4,12-04-2024,23.46.01
12,Paytm,18,Adrak Chai,Afternoon,Wednesday,April,3,4,12-04-2024,23.46.01
16,Cash,18,Adrak Chai,Afternoon,Wednesday,April,3,4,12-04-2024,23.46.01
19,Cash,18,Adrak Chai,Night,Wednesday,April,3,4,12-04-2024,23.46.01
19,Paytm,15,Black Tea,Night,Wednesday,April,3,4,12-04-2024,23.46.01
10,Cash,35,Irani Chai,Morning,Thursday,April,4,4,12-04-2024,23.46.01
15,Paytm,12,Masala Chai,Afternoon,Thursday,April,4,4,12-04-2024,18.27.00
17,Cash,35,Irani Chai,Night,Thursday,April,4,4,12-04-2024,9.43.05
17,Paytm,35,Irani Chai,Night,Thursday,April,4,4,12-04-2024,10.49.02
10,Cash,12,Masala Chai,Morning,Friday,April,5,4,12-04-2024,12.50.06
